Property ID,Price,Property Size,Land Area,Bedrooms,Rooms,Bathrooms,Garage,Year Built,Property Type,Property Status,Title,URL
26270,$14.00/per square meter,800sqm,,,,,,,Commercial,For Rent,FOR RENT: LONG ACRES (OFFICE SPACE),https://thehorizonproperties.com/property/for-rent-long-acres-office-space-2-2/
26372,"ZK25,000.00",,,2,,,,,"House, Residential",For Rent,FOR RENT: IBEX HILL,https://thehorizonproperties.com/property/for-rent-ibex-hill-6/
26426,"ZK15,000.00/monthly",,,2,,,,,"House, Residential",For Rent,FOR RENT: IBEX (4TH STREET),https://thehorizonproperties.com/property/for-rent-ibex-4th-street-2/
26848,"$2,000.00",,,4,,3,,,Apartment,For Rent,NEW KASAMA,https://thehorizonproperties.com/property/new-kasama-3/
26903,"ZK5,800.00",,,2,,,,,Residential,For Rent,LUSAKA WEST (KALUNDU AREA),https://thehorizonproperties.com/property/lusaka-west-behind-mount-eugenia-zaf/
26927,"ZK12,000.00",,MAKENI (GREY ZULU) m²,3,,,,,Residential,For Rent,MAKENI (GREY ZULU),https://thehorizonproperties.com/property/makeni-grey-zulu/
25980,"ZK13,000.00/per month",,,,5,,,,Commercial,For Rent,FOR RENT: WOODLANDS,https://thehorizonproperties.com/property/for-rent-woodlands-2/
25963,"ZK30,000.00",192 m²,,,,,,,Commercial,For Rent,"FOR RENT: WAREHOUSE, MUMBWA RD",https://thehorizonproperties.com/property/for-rent-warehouse-mumbwa-rd-2/
26102,"ZK15,000.00",,,2,,,,,"House, Residential",For Rent,FOR RENT: IBEX (4TH STREET),https://thehorizonproperties.com/property/for-rent-ibex-4th-street/
26134,$14.00/per square meter,800sqm,,,,,,,Commercial,For Rent,FOR RENT: LONG ACRES (OFFICE SPACE),https://thehorizonproperties.com/property/for-rent-long-acres-office-space/
26153,"$2,500.00/each",,,5,,,,,"House, Residential",For Rent,FOR RENT: LONG ACRES,https://thehorizonproperties.com/property/for-rent-long-acres/
25919,"ZK13,000.00/per month",,,,5,,,,Commercial,For Rent,FOR RENT: WOODLANDS,https://thehorizonproperties.com/property/for-rent-woodlands/
25983,"ZK15,000.00/per month",,,4,,,,,Commercial,For Rent,FOR RENT: CHUDLEIGH,https://thehorizonproperties.com/property/for-rent-chudleigh-2-2/
25986,"$1,650.00/per month",,,3,,,,,"Apartment, Residential",For Rent,FOR RENT: MUNALI,https://thehorizonproperties.com/property/for-rent-munali-2/
25984,"ZK12,000.00/per month",,,4,,,,,Residential,For Rent,FOR RENT: CHUDLEIGH,https://thehorizonproperties.com/property/for-rent-chudleigh-3/
25866,"ZK15,000.00/per month",,,4,,,,,Commercial,For Rent,FOR RENT: CHUDLEIGH,https://thehorizonproperties.com/property/for-rent-chudleigh-2/
25008,"$1,500.00/per month",,,5,,,,,Apartment,For Rent,FOR RENT : FOXDALE,https://thehorizonproperties.com/property/for-rent-foxdale-2/
25179,"ZK30,000.00/per month",192 sqm,,,,,,,Commercial,For Rent,FOR RENT : GARDEN HOUSE (COMMERCIAL PROPERTY),https://thehorizonproperties.com/property/for-rent-garden-house-commercial-property/
25292,"ZK20,000.00/per month",,,,,,,,Residential,For Rent,FOR RENT : NEW KASAMA,https://thehorizonproperties.com/property/for-rent-new-kasama-2/
25481,"ZK15,000.00",,,3,,,,,Residential,For Rent,FOR RENT: MAKENI ORIENTAL PARK,https://thehorizonproperties.com/property/for-rent-makeni-oriental-park/
25558,"ZK30,000.00",192 m²,,,,,,,Commercial,For Rent,"FOR RENT: WAREHOUSE, MUMBWA RD",https://thehorizonproperties.com/property/for-rent-warehouse-mumbwa-rd/
25623,"ZK15,000.00",,,3,,,,,Residential,For Rent,FOR RENT: MAKENI BUCKLEY,https://thehorizonproperties.com/property/for-rent-makeni-buckley-2/
25840,"$1,650.00/per month",,,3,,,,,"Apartment, Residential",For Rent,FOR RENT: MUNALI,https://thehorizonproperties.com/property/for-rent-munali/
25864,"ZK12,000.00/per month",,,4,,,,,Residential,For Rent,FOR RENT: CHUDLEIGH,https://thehorizonproperties.com/property/for-rent-chudleigh/
24643,"ZK8,000.00/per month",,,2,,,,,"Apartment, Residential",For Rent,FOR RENT : NGWERERE,https://thehorizonproperties.com/property/for-rent-ngwerere-2/
24754,"ZK550,000.00",,5 AcreS,,,,,,Small Holdings,For Rent,FOR SALE: MIKANGO,https://thehorizonproperties.com/property/for-sale-mikango-6-2/
24741,"ZK8,000.00/Per month",,,3,,,,,Apartment,For Rent,FOR RENT: IBEX MEANWOOD,https://thehorizonproperties.com/property/for-rent-ibex-meanwood-2/
23673,"ZK550,000.00",,5 AcreS,,,,,,Small Holdings,For Rent,FOR SALE: MIKANGO,https://thehorizonproperties.com/property/for-sale-mikango-6/
24052,"ZK7,000.00/per month",,,3,,,,,Residential,For Rent,FOR RENT : KABWATA SITE AND SERVICE,https://thehorizonproperties.com/property/for-rent-kabwata-site-and-service/
24170,"ZK8,000.00/per month",,,2,,,,,"Apartment, Residential",For Rent,FOR RENT : NGWERERE,https://thehorizonproperties.com/property/for-rent-ngwerere/
24371,"$1,500.00",,,5,,,,,Apartment,For Rent,FOR RENT : FOXDALE,https://thehorizonproperties.com/property/for-rent-foxdale/
24527,"$3,500.00/per month",,,3,,,,,Residential,For Rent,FOR RENT : IBEX HILL,https://thehorizonproperties.com/property/for-rent-ibex-hill-2/
24583,"ZK7,000.00/per month",,,3,,,,,Residential,For Rent,FOR RENT : KABWATA SITE AND SERVICE,https://thehorizonproperties.com/property/for-rent-kabwata-site-and-service-2/
23521,"ZK8,000.00/Per month",,,3,,,,,Apartment,For Rent,FOR RENT: IBEX MEANWOOD,https://thehorizonproperties.com/property/for-rent-ibex-meanwood/
21757,"$1,500.00/PER MONTH",,,5,,,,,Villa,For Rent,FOR RENT: FOXDALE,https://thehorizonproperties.com/property/for-rent-foxdale-4/
21866,"ZK3,150.00",,,3,,,,,Residential,For Rent,RENT – CHILENJE,https://thehorizonproperties.com/property/rent-chilenje/
21913,"ZK10,000.00/Monthly",,,,,,,,,For Rent,RENT- JESMONDINE OFFICE SPACE,https://thehorizonproperties.com/property/rent-jesmondine-office-space/
22363,$3500,,,3,,,,,Commercial,For Rent,FOR RENT: IBEX HILL,https://thehorizonproperties.com/property/for-rent-ibex-hill-3/
22397,"ZK7,500.00/Monthly",,,3,,,,,Residential,For Rent,FOR RENT: MEANWOOD (MUTUMBI PHASE 4),https://thehorizonproperties.com/property/for-rent-meanwood-mutumbi-phase-4/
22430,"ZK7,000.00/Monthly",,,3,,,,,"Residential, Single Family Home",For Rent,FOR RENT: CHALALA,https://thehorizonproperties.com/property/for-rent-chalala/
22582,"ZK4,500.00",,,3,,2,,,Residential,For Rent,FOR RENT – IBEX HILL,https://thehorizonproperties.com/property/for-rent-ibex-hill-4/
22758,"ZK19,000.00/monthly",,,4,,,,,Residential,For Rent,FOR RENT: IBEX HILL,https://thehorizonproperties.com/property/for-rent-ibex-hill-5/
20732,"ZK10,000.00/monthly",,,3,,,1,,Residential,For Rent,FOR RENT: IBEX,https://thehorizonproperties.com/property/for-rent-ibex-2/
20992,"ZK7,000.00",1 acre m²,,3,,1,,2022,Apartment,For Rent,FOR RENT: MAKENI BUCKLEY,https://thehorizonproperties.com/property/for-rent-makeni-buckley/
21002,"ZK5,500.00",,1 Acre m²,4,,3,1,2022,Multi Family Home,For Rent,FOR RENT: SHIMABALA,https://thehorizonproperties.com/property/for-rent-shimabala-2/
21007,"ZK8,000.00",,,4,,2,,,Commercial,For Rent,FOR RENT: AVONDALE,https://thehorizonproperties.com/property/for-rent-avondale/
21035,"ZK3,500.00",,,2,,2,,,Apartment,For Rent,FOR RENT: MEANWOOD NDEKE PHASE 1,https://thehorizonproperties.com/property/for-rent-meanwood-ndeke-phase-1/
21185,"ZK8,000.00",,,3,,2,,New,Apartment,For Rent,FOR RENT: CHALALA/ LILAYI,https://thehorizonproperties.com/property/for-rent-chalala-lilayi/
21612,"ZK20,000.00",,,6,,,,,"Apartment, Multi Family Home, Residential",For Rent,FOR RENT: NEW KASAMA,https://thehorizonproperties.com/property/for-rent-new-kasama/
21636,"ZK7,000.00",,,3,,,,,"Residential, Single Family Home",For Rent,FOR RENT: MEANWOOD KWAMWENA PHASE 1,https://thehorizonproperties.com/property/for-rent-meanwood-kwamwena-phase-1/
21708,"ZK7,000.00",,,3,,,,,"Apartment, Residential",For Rent,RENT – MAKENI BUCKLEY,https://thehorizonproperties.com/property/rent-makeni-buckley/
19631,"ZK10,000.00",,,3,,,,,Residential,For Rent,FOR RENT: IBEX HILL,https://thehorizonproperties.com/property/for-rent-ibex-hill/
20088,"$1,500.00",,,3,,,,,Residential,For Rent,FOR RENT: KABULONGA,https://thehorizonproperties.com/property/for-rent-kabulonga/
20095,"ZK4,700.00",,,2,,,,,Residential,For Rent,FOR RENT: ROMA,https://thehorizonproperties.com/property/for-rent-roma/
20173,"ZK13,000.00",,,5,,,,,Residential,For Rent,FOR RENT CHELSTONE,https://thehorizonproperties.com/property/for-rent-chelstone/
20371,"ZK25,000.00",,,2,,,,,Residential,For Rent,FOR RENT: KALUNDU- COMPLEX OF LUXURY HOUSES WITH ELEGANT FINISHINGS,https://thehorizonproperties.com/property/for-rent-kalundu/
20447,"$3,000.00",,,5,,,,,Residential,For Rent,FOR RENT: KINGSLAND,https://thehorizonproperties.com/property/for-rent-kingsland/
20655,"$2,000.00",,,5,,,,,Multi Family Home,For Rent,FOR RENT: FOXDALE,https://thehorizonproperties.com/property/for-rent-foxdale-3/
